system:index,LST_jour_C,LST_nuit_C,amplitude_C,annee,date,jour,mois,source,zone,.geo
1_1_1_1_1_1_1_1_2_2000_02_24,-9999,6.114244289044223,-9999,2000,2000-02-24,24,2,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_02_25,17.80714749954865,6.9463257676902685,10.86082173185838,2000,2000-02-25,25,2,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_02_26,16.663981415296632,8.154173652166264,8.509807763130368,2000,2000-02-26,26,2,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_02_27,18.268835040234023,8.753579884290218,9.515255155943805,2000,2000-02-27,27,2,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_02_28,17.23098382863435,-9999,-9999,2000,2000-02-28,28,2,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_02_29,-9999,-9999,-9999,2000,2000-02-29,29,2,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_03_01,-9999,6.281749052942814,-9999,2000,2000-03-01,1,3,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_03_02,13.575317203804559,5.355587467362966,8.219729736441593,2000,2000-03-02,2,3,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_03_03,16.389182910547333,-9999,-9999,2000,2000-03-03,3,3,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_03_04,14.575308391423277,5.905507715051328,8.669800676371949,2000,2000-03-04,4,3,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_03_05,16.933283379900104,5.204112875388319,11.729170504511785,2000,2000-03-05,5,3,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_03_06,16.65888026118415,5.802402960823201,10.85647730036095,2000,2000-03-06,6,3,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_03_07,14.298813732154997,9.335647701028734,4.9631660311262635,2000,2000-03-07,7,3,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_03_08,18.103116154873135,-9999,-9999,2000,2000-03-08,8,3,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_03_09,19.58073412512863,9.794985440748292,9.785748684380337,2000,2000-03-09,9,3,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_03_10,20.152879025239315,10.438117482517555,9.71476154272176,2000,2000-03-10,10,3,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_03_11,17.022850467289572,8.598040114613184,8.424810352676388,2000,2000-03-11,11,3,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_03_12,20.514049844236695,9.275094717668537,11.238955126568158,2000,2000-03-12,12,3,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_03_13,13.352527227031544,9.544284394345311,3.8082428326862328,2000,2000-03-13,13,3,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_03_14,20.21378367134679,11.406306523990281,8.807477147356508,2000,2000-03-14,14,3,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_03_15,18.590601816805304,-9999,-9999,2000,2000-03-15,15,3,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
