POSTE;DATE;RR;QRR;DRR;QDRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TMNX;QTMNX;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;TAMPLI;QTAMPLI;TNTXM;QTNTXM;PMERM;QPMERM;PMERMIN;QPMERMIN;FFM;QFFM;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXY;QFXY;DXY;QDXY;HXY;QHXY;FF2M;QFF2M;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;DHUMEC;QDHUMEC;UM;QUM;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;SIGMA;QSIGMA;INFRART;QINFRART;UV_INDICEX;QUV_INDICEX;NB300;QNB300;BA300;QBA300;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE;VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE;UV;QUV;TMERMAX;QTMERMAX;TMERMIN;QTMERMIN;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06
13054001;20030101;0,0;1;;;7,6;1;744;1;13,0;1;1238;1;10,1;1;10,30;1;4,7;1;6,0;1;0;1;5,4;1;10,3;1;1015,2;1;;;4,1;1;14,0;1;330;1;303;1;11,0;1;330;1;258;1;;;;;;;;;13,3;1;330;1;303;1;68;1;1259;1;87;1;750;1;0;1;555;1;9,6;1;;;79;1;276;1;565;1;313;1;;;52;1;;;;;;;;;0;1;0;1;0;1;0;1;0;1;0;1;0;9;0;9;0;1;0;9;0;9;0;9;1,1;1;1,1;9;;;;;;;;;;;;
13054001;20030102;0,0;1;;;8,3;1;451;1;18,0;1;1231;1;11,7;1;13,15;1;5,7;1;6,9;1;0;1;9,7;1;13,2;1;1010,1;1;;;1,5;1;7,0;1;130;1;1112;1;5,0;1;140;1;1119;1;;;;;;;;;6,7;1;130;1;1112;1;56;1;1220;1;94;1;1918;1;0;1;1106;1;10,9;1;;;84;1;248;1;564;1;323;1;;;46;1;;;;;;;;;0;1;0;1;0;1;0;1;0;1;0;1;0;9;0;9;0;1;0;9;0;9;0;9;0,8;1;0,9;9;;;;;;;;;;;;
13054001;20030103;0,2;1;;;9,3;1;610;1;16,5;1;1235;1;11,2;1;12,90;1;6,1;1;7,8;1;0;1;7,2;1;12,9;1;1010,0;1;;;1,3;1;5,0;1;140;1;635;1;4,0;1;150;1;640;1;;;;;;;;;4,8;1;140;1;635;1;53;1;1250;1;94;1;2323;1;0;1;998;1;10,5;1;;;81;1;230;1;557;1;248;1;;;43;1;;;;;;;;;0;1;0;1;0;1;0;1;0;1;0;1;0;9;0;9;0;1;0;9;0;9;0;9;0,8;1;0,8;9;;;;;;;;;;;;
13054001;20030104;0,0;1;;;6,7;1;737;1;15,3;1;1309;1;9,8;1;11,00;1;2,9;1;5,0;1;0;1;8,6;1;11,0;1;1009,6;1;;;5,7;1;18,0;1;310;1;1845;1;14,0;1;300;1;1755;1;;;;;;;;;17,0;1;310;1;1845;1;51;1;1843;1;93;1;6;1;0;1;569;1;9,0;1;;;71;1;217;1;545;1;322;1;;;40;1;;;;;;;;;0;1;0;1;0;1;0;1;0;1;0;1;0;9;0;9;0;1;0;9;0;9;0;9;1,8;1;1,7;9;;;;;;;;;;;;
13054001;20030105;0,0;1;;;0,6;1;1749;1;6,2;1;559;1;2,2;1;3,40;1;-0,3;1;0,2;1;301;1;5,6;1;3,4;1;1008,7;1;;;8,5;1;18,0;1;330;1;1144;1;13,0;1;330;1;959;1;;;;;;;;;17,0;1;330;1;1144;1;44;1;1135;1;78;1;2227;1;0;1;0;1;4,6;1;;;59;1;481;1;818;1;162;1;;;90;1;;;;;;;;;0;1;0;1;0;1;0;1;0;1;0;1;0;9;0;9;0;1;0;9;0;9;0;9;1,8;1;1,7;9;;;;;;;;;;;;
13054001;20030106;23,2;1;;;-2,8;1;2225;1;8,0;1;659;1;3,2;1;2,60;1;-5,4;1;-4,0;1;120;1;10,8;1;2,6;1;1001,1;1;;;6,7;1;19,0;1;70;1;1119;1;13,0;1;70;1;1105;1;;;;;;;;;18,0;1;70;1;1119;1;57;1;415;1;93;1;1548;1;0;1;786;1;5,4;1;;;78;1;0;1;51;1;48;1;;;0;1;;;;;;;;;0;1;0;1;0;1;0;1;0;1;0;1;0;9;0;9;0;1;0;9;0;9;0;9;1,4;1;1,3;9;;;;;;;;;;;;
13054001;20030107;0,0;1;;;-0,1;1;659;1;3,3;1;1404;1;0,7;1;1,60;1;-0,5;1;-0,3;1;296;1;3,4;1;1,6;1;1005,9;1;;;8,2;1;22,0;1;340;1;533;1;15,0;1;340;1;537;1;;;;;;;;;20,7;1;340;1;533;1;53;1;1408;1;78;1;2339;1;0;1;0;1;4,4;1;;;67;1;395;1;767;1;236;1;;;73;1;;;;;;;;;0;1;0;1;0;1;0;1;0;1;0;1;0;9;0;9;0;1;0;9;0;9;0;9;1,3;1;1,2;9;;;;;;;;;;;;
13054001;20030108;5,2;1;;;-1,5;1;2158;1;5,2;1;2001;1;2,5;1;1,85;1;-3,3;1;-2,4;1;274;1;6,7;1;1,9;1;1006,0;1;;;1,3;1;6,0;1;80;1;2221;1;3,0;1;20;1;1;1;;;;;;;;;5,8;1;80;1;2221;1;77;1;1;1;94;1;1613;1;0;1;1074;1;6,0;1;;;86;1;0;1;136;1;128;1;;;0;1;;;;;;;;;0;1;0;1;0;1;0;1;0;1;0;1;1;9;0;9;0;1;0;9;0;9;0;9;0,5;1;0,6;9;;;;;;;;;;;;
13054001;20030109;0,0;1;;;1,5;1;1757;1;4,6;1;1227;1;2,4;1;3,05;1;0,5;1;1,1;1;223;1;3,1;1;3,1;1;1005,8;1;;;3,1;1;14,0;1;340;1;2336;1;8,0;1;340;1;2337;1;;;;;;;;;13,3;1;340;1;2336;1;82;1;1518;1;97;1;625;1;0;1;1440;1;6,8;1;;;91;1;60;1;489;1;429;1;;;11;1;;;;;8;1;0;1;0;1;1;1;0;1;0;1;0;1;0;1;0;9;0;9;1;1;0;9;1;9;0;9;0,4;1;0,4;9;;;;;;;;;;;;
13054001;20030110;0,2;1;;;-3,1;1;607;1;2,5;1;1250;1;-0,8;1;-0,30;1;-5,2;1;-4,2;1;1046;1;5,6;1;-0,3;1;1010,8;1;;;6,0;1;12,0;1;340;1;1303;1;9,0;1;330;1;953;1;;;;;;;;;11,4;1;340;1;1303;1;55;1;1305;1;91;1;310;1;0;1;425;1;4,2;1;;;71;1;440;1;768;1;238;1;;;81;1;;;;;;;;;1;1;0;1;0;1;0;1;0;1;0;1;0;9;0;9;1;1;0;9;0;9;0;9;0,9;1;0,9;9;;;;;;;;;;;;
